event_id,competition,season,home_team,away_team,kickoff,market,selection,odds,quote_timestamp,timestamp_timezone,available_at,source,source_dataset,bookmaker,temporal_basis,license,match_confidence,strict_status
btb-kaggle|1005213|t-1h,Denmark: Superliga,2015,Viborg,Aalborg,2015-09-25T18:00:00.000Z,1X2,HOME,3.39,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005218|t-1h,France: Ligue 2,2015,Creteil,Le Havre,2015-09-25T18:00:00.000Z,1X2,AWAY,3.14,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005218|t-1h,France: Ligue 2,2015,Creteil,Le Havre,2015-09-25T18:00:00.000Z,1X2,DRAW,3.14,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005218|t-1h,France: Ligue 2,2015,Creteil,Le Havre,2015-09-25T18:00:00.000Z,1X2,HOME,2.57,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005219|t-1h,France: Ligue 2,2015,Lens,Sochaux,2015-09-25T18:00:00.000Z,1X2,AWAY,3.43,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005219|t-1h,France: Ligue 2,2015,Lens,Sochaux,2015-09-25T18:00:00.000Z,1X2,DRAW,2.99,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005219|t-1h,France: Ligue 2,2015,Lens,Sochaux,2015-09-25T18:00:00.000Z,1X2,HOME,2.52,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005220|t-1h,France: Ligue 2,2015,Metz,Nimes,2015-09-25T18:00:00.000Z,1X2,AWAY,5.84,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005220|t-1h,France: Ligue 2,2015,Metz,Nimes,2015-09-25T18:00:00.000Z,1X2,DRAW,3.7,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005220|t-1h,France: Ligue 2,2015,Metz,Nimes,2015-09-25T18:00:00.000Z,1X2,HOME,1.71,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005221|t-1h,France: Ligue 2,2015,Niort,Clermont,2015-09-25T18:00:00.000Z,1X2,AWAY,3.08,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005221|t-1h,France: Ligue 2,2015,Niort,Clermont,2015-09-25T18:00:00.000Z,1X2,DRAW,3.09,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
