event_id,source,market,selection,price,quote_timestamp,precision,origin,capital_eligible
kaggle-ah-2596817,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T20:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596818,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T23:14:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596819,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T03:59:52.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596820,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T01:29:56.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596821,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-02T01:29:46.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596822,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-02T20:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596823,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-03T03:59:38.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596824,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-01T20:59:44.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596825,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-04T03:59:55.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596826,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-01T03:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596827,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-03T01:29:51.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596828,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-02T23:14:50.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596829,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-01T23:14:42.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2596830,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-02-02T03:59:46.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607056,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-12T03:44:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607057,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-13T00:59:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607058,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-11T21:59:40.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607059,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-12T19:29:46.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
